run_idx,mode,fiber_vf,f_r,mu,sigma,db_t,crc_no,debond_fraction,base_angle,P_eff
166,cracks,0.20154068200524716,0.4337413910832542,0.6773674953846862,2.2397860829941445,0.11173324521973307,13,0.0,0.4900435928577569,0.07787002997614502
167,cracks,0.24463197786593818,0.6014475499174697,0.47431604177104064,1.3543195798405454,0.1455793203333567,6,0.0,3.063518446740272,0.06873361213305747
168,baseline,0.13292030537483945,0.6289499212117418,0.3977160237142179,1.2264401426594642,0.06483191534495934,0,0.0,0.9490917618446827,0.08273810410456431
169,debond,0.18698460053476773,0.3980954658585752,0.6189904313959274,1.1603045718461766,0.07064439645800599,0,0.3718388499672819,0.10659928291475813,0.12812147189357578
170,mixed,0.27086552648395934,0.5182640272879576,0.4112260874378925,2.4713219176871073,0.07962132726854029,2,0.19926876932419452,1.8966070661190064,0.09750581008730894
171,mixed,0.10110353192827969,0.42114212255181327,0.7264456608520015,2.051742876775317,0.10874268393896523,12,0.3948083623662255,0.7180569233456469,0.12185766834576772
172,cracks,0.23591930446252965,0.6207694110431354,0.5269513474126489,1.4695214173921356,0.11282769419301314,3,0.0,2.8109218934402165,0.0686281900184089
173,cracks,0.25647561013718234,0.6565752383792232,0.6148073522614628,1.3750914839965267,0.0923579845448908,9,0.0,0.061755263840022626,0.0657630756771639
174,mixed,0.20365045320279151,0.6305516091368994,0.7364964223767149,2.3417416288087853,0.08280535770817057,2,0.37209589840702706,1.5388782609590768,0.11714242837683587
175,baseline,0.10762910582307444,0.5716799572776313,0.3804213051356974,2.1726875523253484,0.14405877158031727,0,0.0,1.6311776583897675,0.08589793653019588
176,baseline,0.2694319003441341,0.5283923459836666,0.40249096049851213,1.713603289934149,0.05161064538304603,0,0.0,2.489922051450749,0.06385085849525543
177,debond,0.2043376540286121,0.505174325935952,0.7739863107238322,1.3151341228590678,0.11843602745518285,0,0.3747451093767171,2.3960978613811035,0.13546879868818795
178,baseline,0.2458212971455877,0.607001145018164,0.618784404756942,1.3786865764225709,0.08818366929865194,0,0.0,0.19321997317894066,0.06717321934994688
179,baseline,0.18371649967943976,0.5102735326758204,0.6491263600993309,1.5281875012089525,0.0765157476881582,0,0.0,0.7050591568588789,0.07493570522009069
